country,year,unit,sex,not_emp_edu
Austria,2009,Percentage of total population,Females,11.9
Austria,2010,Percentage of total population,Females,11.2
Austria,2011,Percentage of total population,Females,10.4
Austria,2012,Percentage of total population,Females,10.1
Austria,2013,Percentage of total population,Females,10.3
Austria,2014,Percentage of total population,Females,10.9
Austria,2015,Percentage of total population,Females,9.7
Austria,2016,Percentage of total population,Females,10.0
Austria,2017,Percentage of total population,Females,9.6
Austria,2018,Percentage of total population,Females,10.4
Austria,2019,Percentage of total population,Females,10.3
Austria,2020,Percentage of total population,Females,10.2
Austria,2021,Percentage of total population,Females,10.3
Austria,2022,Percentage of total population,Females,9.6
Austria,2023,Percentage of total population,Females,10.0
Bosnia and Herzegovina,2021,Percentage of total population,Females,28.8
Bosnia and Herzegovina,2022,Percentage of total population,Females,27.4
Bosnia and Herzegovina,2023,Percentage of total population,Females,25.9
Belgium,2009,Percentage of total population,Females,14.4
Belgium,2010,Percentage of total population,Females,14.1
Belgium,2011,Percentage of total population,Females,15.3
Belgium,2012,Percentage of total population,Females,15.4
Belgium,2013,Percentage of total population,Females,15.7
Belgium,2014,Percentage of total population,Females,14.2
Belgium,2015,Percentage of total population,Females,15.0
Belgium,2016,Percentage of total population,Females,14.0
Belgium,2017,Percentage of total population,Females,13.2
Belgium,2018,Percentage of total population,Females,13.1
Belgium,2019,Percentage of total population,Females,12.5
Belgium,2020,Percentage of total population,Females,12.4
Belgium,2021,Percentage of total population,Females,9.7
Belgium,2022,Percentage of total population,Females,9.1
Belgium,2023,Percentage of total population,Females,9.5
Bulgaria,2009,Percentage of total population,Females,24.2
Bulgaria,2010,Percentage of total population,Females,26.0
Bulgaria,2011,Percentage of total population,Females,26.7
Bulgaria,2012,Percentage of total population,Females,26.6
Bulgaria,2013,Percentage of total population,Females,28.0
Bulgaria,2014,Percentage of total population,Females,27.0
Bulgaria,2015,Percentage of total population,Females,24.9
Bulgaria,2016,Percentage of total population,Females,26.0
Bulgaria,2017,Percentage of total population,Females,23.3
Bulgaria,2018,Percentage of total population,Females,22.0
Bulgaria,2019,Percentage of total population,Females,20.3
Bulgaria,2020,Percentage of total population,Females,21.5
Bulgaria,2021,Percentage of total population,Females,20.6
Bulgaria,2022,Percentage of total population,Females,16.9
Bulgaria,2023,Percentage of total population,Females,15.2
Switzerland,2010,Percentage of total population,Females,9.6
Switzerland,2011,Percentage of total population,Females,8.7
Switzerland,2012,Percentage of total population,Females,8.7
Switzerland,2013,Percentage of total population,Females,8.6
Switzerland,2014,Percentage of total population,Females,8.0
Switzerland,2015,Percentage of total population,Females,7.7
Switzerland,2016,Percentage of total population,Females,7.8
Switzerland,2017,Percentage of total population,Females,7.1
Switzerland,2018,Percentage of total population,Females,6.5
Switzerland,2019,Percentage of total population,Females,6.0
Switzerland,2020,Percentage of total population,Females,5.9
Switzerland,2023,Percentage of total population,Females,7.9
Cyprus,2009,Percentage of total population,Females,14.2
Cyprus,2010,Percentage of total population,Females,14.8
Cyprus,2011,Percentage of total population,Females,15.4
Cyprus,2012,Percentage of total population,Females,17.4
Cyprus,2013,Percentage of total population,Females,20.1
Cyprus,2014,Percentage of total population,Females,18.5
Cyprus,2015,Percentage of total population,Females,19.2
Cyprus,2016,Percentage of total population,Females,19.5
Cyprus,2017,Percentage of total population,Females,19.3
Cyprus,2018,Percentage of total population,Females,15.5
Cyprus,2019,Percentage of total population,Females,16.7
Cyprus,2020,Percentage of total population,Females,16.1
Cyprus,2021,Percentage of total population,Females,15.4
Cyprus,2022,Percentage of total population,Females,16.7
Cyprus,2023,Percentage of total population,Females,14.8
Czechia,2009,Percentage of total population,Females,17.6
Czechia,2010,Percentage of total population,Females,17.7
Czechia,2011,Percentage of total population,Females,16.9
Czechia,2012,Percentage of total population,Females,17.7
Czechia,2013,Percentage of total population,Females,17.7
Czechia,2014,Percentage of total population,Females,17.4
Czechia,2015,Percentage of total population,Females,17.2
Czechia,2016,Percentage of total population,Females,16.8
Czechia,2017,Percentage of total population,Females,15.5
Czechia,2018,Percentage of total population,Females,15.3
Czechia,2019,Percentage of total population,Females,15.9
Czechia,2020,Percentage of total population,Females,17.6
Czechia,2021,Percentage of total population,Females,17.3
Czechia,2022,Percentage of total population,Females,17.1
Czechia,2023,Percentage of total population,Females,15.5
Germany,2009,Percentage of total population,Females,15.3
Germany,2010,Percentage of total population,Females,14.9
Germany,2011,Percentage of total population,Females,13.5
Germany,2012,Percentage of total population,Females,13.3
Germany,2013,Percentage of total population,Females,12.4
Germany,2014,Percentage of total population,Females,12.4
Germany,2015,Percentage of total population,Females,12.1
Germany,2016,Percentage of total population,Females,12.5
Germany,2017,Percentage of total population,Females,12.0
Germany,2018,Percentage of total population,Females,11.3
Germany,2019,Percentage of total population,Females,11.0
Germany,2020,Percentage of total population,Females,10.7
Germany,2021,Percentage of total population,Females,10.9
Germany,2022,Percentage of total population,Females,10.5
Germany,2023,Percentage of total population,Females,10.3
Denmark,2009,Percentage of total population,Females,7.3
Denmark,2010,Percentage of total population,Females,7.7
Denmark,2011,Percentage of total population,Females,8.9
Denmark,2012,Percentage of total population,Females,9.0
Denmark,2013,Percentage of total population,Females,8.7
Denmark,2014,Percentage of total population,Females,8.7
Denmark,2015,Percentage of total population,Females,8.9
Denmark,2016,Percentage of total population,Females,8.7
Denmark,2017,Percentage of total population,Females,10.5
Denmark,2018,Percentage of total population,Females,9.7
Denmark,2019,Percentage of total population,Females,9.6
Denmark,2020,Percentage of total population,Females,10.4
Denmark,2021,Percentage of total population,Females,8.9
Denmark,2022,Percentage of total population,Females,8.3
Denmark,2023,Percentage of total population,Females,8.9
Euro area – 20 countries (from 2023),2009,Percentage of total population,Females,16.5
Euro area – 20 countries (from 2023),2010,Percentage of total population,Females,16.7
Euro area – 20 countries (from 2023),2011,Percentage of total population,Females,16.7
Euro area – 20 countries (from 2023),2012,Percentage of total population,Females,17.1
Euro area – 20 countries (from 2023),2013,Percentage of total population,Females,17.4
Euro area – 20 countries (from 2023),2014,Percentage of total population,Females,17.2
Euro area – 20 countries (from 2023),2015,Percentage of total population,Females,16.7
Euro area – 20 countries (from 2023),2016,Percentage of total population,Females,16.2
Euro area – 20 countries (from 2023),2017,Percentage of total population,Females,15.6
Euro area – 20 countries (from 2023),2018,Percentage of total population,Females,14.9
Euro area – 20 countries (from 2023),2019,Percentage of total population,Females,14.2
Euro area – 20 countries (from 2023),2020,Percentage of total population,Females,14.9
Euro area – 20 countries (from 2023),2021,Percentage of total population,Females,13.8
Euro area – 20 countries (from 2023),2022,Percentage of total population,Females,12.5
Euro area – 20 countries (from 2023),2023,Percentage of total population,Females,12.0
Estonia,2009,Percentage of total population,Females,18.9
Estonia,2010,Percentage of total population,Females,17.9
Estonia,2011,Percentage of total population,Females,15.4
Estonia,2012,Percentage of total population,Females,16.6
Estonia,2013,Percentage of total population,Females,16.1
Estonia,2014,Percentage of total population,Females,15.2
Estonia,2015,Percentage of total population,Females,16.2
Estonia,2016,Percentage of total population,Females,17.9
Estonia,2017,Percentage of total population,Females,12.6
Estonia,2018,Percentage of total population,Females,13.2
Estonia,2019,Percentage of total population,Females,12.2
Estonia,2020,Percentage of total population,Females,12.9
Estonia,2021,Percentage of total population,Females,11.7
Estonia,2022,Percentage of total population,Females,9.2
Estonia,2023,Percentage of total population,Females,8.9
Greece,2009,Percentage of total population,Females,19.9
Greece,2010,Percentage of total population,Females,21.8
Greece,2011,Percentage of total population,Females,25.0
Greece,2012,Percentage of total population,Females,27.7
Greece,2013,Percentage of total population,Females,28.5
Greece,2014,Percentage of total population,Females,26.9
Greece,2015,Percentage of total population,Females,24.6
Greece,2016,Percentage of total population,Females,23.3
Greece,2017,Percentage of total population,Females,23.1
Greece,2018,Percentage of total population,Females,20.6
Greece,2019,Percentage of total population,Females,18.0
Greece,2020,Percentage of total population,Females,18.5
Greece,2021,Percentage of total population,Females,17.9
Greece,2022,Percentage of total population,Females,16.5
Greece,2023,Percentage of total population,Females,17.2
Spain,2009,Percentage of total population,Females,19.5
Spain,2010,Percentage of total population,Females,19.7
Spain,2011,Percentage of total population,Females,20.4
Spain,2012,Percentage of total population,Females,21.6
Spain,2013,Percentage of total population,Females,22.1
Spain,2014,Percentage of total population,Females,20.9
Spain,2015,Percentage of total population,Females,19.7
Spain,2016,Percentage of total population,Females,18.7
Spain,2017,Percentage of total population,Females,17.1
Spain,2018,Percentage of total population,Females,16.0
Spain,2019,Percentage of total population,Females,15.4
Spain,2020,Percentage of total population,Females,17.3
Spain,2021,Percentage of total population,Females,13.9
Spain,2022,Percentage of total population,Females,13.3
Spain,2023,Percentage of total population,Females,12.3
European Union - 27 countries (from 2020),2009,Percentage of total population,Females,16.7
European Union - 27 countries (from 2020),2010,Percentage of total population,Females,17.2
European Union - 27 countries (from 2020),2011,Percentage of total population,Females,17.2
European Union - 27 countries (from 2020),2012,Percentage of total population,Females,17.6
European Union - 27 countries (from 2020),2013,Percentage of total population,Females,17.9
European Union - 27 countries (from 2020),2014,Percentage of total population,Females,17.6
European Union - 27 countries (from 2020),2015,Percentage of total population,Females,17.1
European Union - 27 countries (from 2020),2016,Percentage of total population,Females,16.7
European Union - 27 countries (from 2020),2017,Percentage of total population,Females,16.0
European Union - 27 countries (from 2020),2018,Percentage of total population,Females,15.3
European Union - 27 countries (from 2020),2019,Percentage of total population,Females,14.7
European Union - 27 countries (from 2020),2020,Percentage of total population,Females,15.4
European Union - 27 countries (from 2020),2021,Percentage of total population,Females,14.5
European Union - 27 countries (from 2020),2022,Percentage of total population,Females,13.0
European Union - 27 countries (from 2020),2023,Percentage of total population,Females,12.5
Finland,2009,Percentage of total population,Females,11.6
Finland,2010,Percentage of total population,Females,10.9
Finland,2011,Percentage of total population,Females,10.4
Finland,2012,Percentage of total population,Females,10.7
Finland,2013,Percentage of total population,Females,10.8
Finland,2014,Percentage of total population,Females,11.1
Finland,2015,Percentage of total population,Females,12.4
Finland,2016,Percentage of total population,Females,11.6
Finland,2017,Percentage of total population,Females,11.0
Finland,2018,Percentage of total population,Females,10.6
Finland,2019,Percentage of total population,Females,9.9
Finland,2020,Percentage of total population,Females,9.9
Finland,2021,Percentage of total population,Females,8.7
Finland,2022,Percentage of total population,Females,8.6
Finland,2023,Percentage of total population,Females,9.1
France,2003,Percentage of total population,Females,12.2
France,2004,Percentage of total population,Females,12.5
France,2005,Percentage of total population,Females,12.4
France,2006,Percentage of total population,Females,12.5
France,2007,Percentage of total population,Females,12.1
France,2008,Percentage of total population,Females,11.8
France,2009,Percentage of total population,Females,12.7
France,2010,Percentage of total population,Females,13.0
France,2011,Percentage of total population,Females,13.2
France,2012,Percentage of total population,Females,13.2
France,2013,Percentage of total population,Females,13.8
France,2014,Percentage of total population,Females,13.9
France,2015,Percentage of total population,Females,14.5
France,2016,Percentage of total population,Females,14.3
France,2017,Percentage of total population,Females,13.6
France,2018,Percentage of total population,Females,13.2
France,2019,Percentage of total population,Females,12.6
France,2020,Percentage of total population,Females,13.7
France,2021,Percentage of total population,Females,13.0
France,2022,Percentage of total population,Females,12.1
France,2023,Percentage of total population,Females,12.5
Croatia,2009,Percentage of total population,Females,17.3
Croatia,2010,Percentage of total population,Females,17.3
Croatia,2011,Percentage of total population,Females,18.9
Croatia,2012,Percentage of total population,Females,19.4
Croatia,2013,Percentage of total population,Females,21.8
Croatia,2014,Percentage of total population,Females,20.9
Croatia,2015,Percentage of total population,Females,19.2
Croatia,2016,Percentage of total population,Females,19.3
Croatia,2017,Percentage of total population,Females,18.9
Croatia,2018,Percentage of total population,Females,17.8
Croatia,2019,Percentage of total population,Females,16.2
Croatia,2020,Percentage of total population,Females,15.9
Croatia,2021,Percentage of total population,Females,16.2
Croatia,2022,Percentage of total population,Females,15.1
Croatia,2023,Percentage of total population,Females,12.7
Hungary,2009,Percentage of total population,Females,16.9
Hungary,2010,Percentage of total population,Females,16.8
Hungary,2011,Percentage of total population,Females,17.4
Hungary,2012,Percentage of total population,Females,18.5
Hungary,2013,Percentage of total population,Females,19.0
Hungary,2014,Percentage of total population,Females,17.2
Hungary,2015,Percentage of total population,Females,15.3
Hungary,2016,Percentage of total population,Females,14.5
Hungary,2017,Percentage of total population,Females,14.7
Hungary,2018,Percentage of total population,Females,13.9
Hungary,2019,Percentage of total population,Females,13.4
Hungary,2020,Percentage of total population,Females,14.8
Hungary,2021,Percentage of total population,Females,14.8
Hungary,2022,Percentage of total population,Females,13.3
Hungary,2023,Percentage of total population,Females,13.3
Ireland,2009,Percentage of total population,Females,18.4
Ireland,2010,Percentage of total population,Females,20.3
Ireland,2011,Percentage of total population,Females,20.9
Ireland,2012,Percentage of total population,Females,20.3
Ireland,2013,Percentage of total population,Females,18.5
Ireland,2014,Percentage of total population,Females,18.2
Ireland,2015,Percentage of total population,Females,16.6
Ireland,2016,Percentage of total population,Females,14.6
Ireland,2017,Percentage of total population,Females,13.8
Ireland,2018,Percentage of total population,Females,12.5
Ireland,2019,Percentage of total population,Females,12.4
Ireland,2020,Percentage of total population,Females,14.5
Ireland,2021,Percentage of total population,Females,9.5
Ireland,2022,Percentage of total population,Females,9.5
Ireland,2023,Percentage of total population,Females,8.7
Iceland,2009,Percentage of total population,Females,8.5
Iceland,2010,Percentage of total population,Females,11.0
Iceland,2011,Percentage of total population,Females,7.7
Iceland,2012,Percentage of total population,Females,6.4
Iceland,2013,Percentage of total population,Females,5.9
Iceland,2014,Percentage of total population,Females,6.5
Iceland,2015,Percentage of total population,Females,4.9
Iceland,2016,Percentage of total population,Females,5.0
Iceland,2017,Percentage of total population,Females,4.8
Iceland,2018,Percentage of total population,Females,5.9
Iceland,2019,Percentage of total population,Females,4.8
Iceland,2020,Percentage of total population,Females,7.4
Iceland,2021,Percentage of total population,Females,7.6
Iceland,2022,Percentage of total population,Females,5.2
Iceland,2023,Percentage of total population,Females,6.3
Italy,2009,Percentage of total population,Females,24.1
Italy,2010,Percentage of total population,Females,25.4
Italy,2011,Percentage of total population,Females,25.8
Italy,2012,Percentage of total population,Females,26.6
Italy,2013,Percentage of total population,Females,28.3
Italy,2014,Percentage of total population,Females,28.4
Italy,2015,Percentage of total population,Females,27.9
Italy,2016,Percentage of total population,Females,27.0
Italy,2017,Percentage of total population,Females,26.6
Italy,2018,Percentage of total population,Females,26.1
Italy,2019,Percentage of total population,Females,24.9
Italy,2020,Percentage of total population,Females,26.1
Italy,2021,Percentage of total population,Females,25.0
Italy,2022,Percentage of total population,Females,20.5
Italy,2023,Percentage of total population,Females,17.8
Lithuania,2009,Percentage of total population,Females,13.6
Lithuania,2010,Percentage of total population,Females,14.5
Lithuania,2011,Percentage of total population,Females,13.3
Lithuania,2012,Percentage of total population,Females,13.0
Lithuania,2013,Percentage of total population,Females,14.3
Lithuania,2014,Percentage of total population,Females,14.3
Lithuania,2015,Percentage of total population,Females,13.0
Lithuania,2016,Percentage of total population,Females,10.7
Lithuania,2017,Percentage of total population,Females,10.8
Lithuania,2018,Percentage of total population,Females,9.9
Lithuania,2019,Percentage of total population,Females,11.0
Lithuania,2020,Percentage of total population,Females,12.4
Lithuania,2021,Percentage of total population,Females,13.5
Lithuania,2022,Percentage of total population,Females,11.8
Lithuania,2023,Percentage of total population,Females,14.1
Luxembourg,2009,Percentage of total population,Females,8.8
Luxembourg,2010,Percentage of total population,Females,7.0
Luxembourg,2011,Percentage of total population,Females,8.2
Luxembourg,2012,Percentage of total population,Females,9.0
Luxembourg,2013,Percentage of total population,Females,7.7
Luxembourg,2014,Percentage of total population,Females,5.6
Luxembourg,2015,Percentage of total population,Females,8.6
Luxembourg,2016,Percentage of total population,Females,8.3
Luxembourg,2017,Percentage of total population,Females,6.9
Luxembourg,2018,Percentage of total population,Females,9.6
Luxembourg,2019,Percentage of total population,Females,5.9
Luxembourg,2020,Percentage of total population,Females,6.6
Luxembourg,2021,Percentage of total population,Females,8.5
Luxembourg,2022,Percentage of total population,Females,6.4
Luxembourg,2023,Percentage of total population,Females,10.0
Latvia,2009,Percentage of total population,Females,20.7
Latvia,2010,Percentage of total population,Females,21.0
Latvia,2011,Percentage of total population,Females,20.3
Latvia,2012,Percentage of total population,Females,18.4
Latvia,2013,Percentage of total population,Females,17.3
Latvia,2014,Percentage of total population,Females,17.9
Latvia,2015,Percentage of total population,Females,15.4
Latvia,2016,Percentage of total population,Females,13.6
Latvia,2017,Percentage of total population,Females,13.5
Latvia,2018,Percentage of total population,Females,12.4
Latvia,2019,Percentage of total population,Females,10.6
Latvia,2020,Percentage of total population,Females,12.6
Latvia,2021,Percentage of total population,Females,12.6
Latvia,2022,Percentage of total population,Females,11.6
Latvia,2023,Percentage of total population,Females,10.4
Montenegro,2011,Percentage of total population,Females,25.6
Montenegro,2012,Percentage of total population,Females,25.7
Montenegro,2013,Percentage of total population,Females,23.3
Montenegro,2014,Percentage of total population,Females,22.5
Montenegro,2015,Percentage of total population,Females,24.1
Montenegro,2016,Percentage of total population,Females,23.1
Montenegro,2017,Percentage of total population,Females,22.6
Montenegro,2018,Percentage of total population,Females,20.8
Montenegro,2019,Percentage of total population,Females,21.5
Montenegro,2020,Percentage of total population,Females,26.9
North Macedonia,2009,Percentage of total population,Females,37.2
North Macedonia,2010,Percentage of total population,Females,35.1
North Macedonia,2011,Percentage of total population,Females,34.8
North Macedonia,2012,Percentage of total population,Females,34.1
North Macedonia,2013,Percentage of total population,Females,34.6
North Macedonia,2014,Percentage of total population,Females,36.2
North Macedonia,2015,Percentage of total population,Females,35.3
North Macedonia,2016,Percentage of total population,Females,34.0
North Macedonia,2017,Percentage of total population,Females,35.7
North Macedonia,2018,Percentage of total population,Females,33.9
North Macedonia,2019,Percentage of total population,Females,28.3
North Macedonia,2020,Percentage of total population,Females,29.0
Malta,2009,Percentage of total population,Females,16.4
Malta,2010,Percentage of total population,Females,16.1
Malta,2011,Percentage of total population,Females,14.9
Malta,2012,Percentage of total population,Females,14.7
Malta,2013,Percentage of total population,Females,12.7
Malta,2014,Percentage of total population,Females,14.5
Malta,2015,Percentage of total population,Females,15.0
Malta,2016,Percentage of total population,Females,12.1
Malta,2017,Percentage of total population,Females,9.8
Malta,2018,Percentage of total population,Females,9.0
Malta,2019,Percentage of total population,Females,10.6
Malta,2020,Percentage of total population,Females,10.9
Malta,2021,Percentage of total population,Females,12.0
Malta,2022,Percentage of total population,Females,7.9
Malta,2023,Percentage of total population,Females,8.3
Netherlands,2009,Percentage of total population,Females,8.2
Netherlands,2010,Percentage of total population,Females,8.2
Netherlands,2011,Percentage of total population,Females,8.0
Netherlands,2012,Percentage of total population,Females,8.9
Netherlands,2013,Percentage of total population,Females,9.4
Netherlands,2014,Percentage of total population,Females,9.9
Netherlands,2015,Percentage of total population,Females,8.8
Netherlands,2016,Percentage of total population,Females,8.2
Netherlands,2017,Percentage of total population,Females,7.9
Netherlands,2018,Percentage of total population,Females,7.4
Netherlands,2019,Percentage of total population,Females,6.9
Netherlands,2020,Percentage of total population,Females,7.2
Netherlands,2021,Percentage of total population,Females,4.2
Netherlands,2022,Percentage of total population,Females,4.6
Netherlands,2023,Percentage of total population,Females,5.5
Norway,2009,Percentage of total population,Females,8.5
Norway,2010,Percentage of total population,Females,8.5
Norway,2011,Percentage of total population,Females,9.2
Norway,2012,Percentage of total population,Females,8.9
Norway,2013,Percentage of total population,Females,9.5
Norway,2014,Percentage of total population,Females,9.8
Norway,2015,Percentage of total population,Females,9.4
Norway,2016,Percentage of total population,Females,9.0
Norway,2017,Percentage of total population,Females,9.1
Norway,2018,Percentage of total population,Females,8.7
Norway,2019,Percentage of total population,Females,8.8
Norway,2020,Percentage of total population,Females,8.5
Norway,2021,Percentage of total population,Females,7.3
Norway,2022,Percentage of total population,Females,6.8
Norway,2023,Percentage of total population,Females,6.2
Poland,2009,Percentage of total population,Females,17.0
Poland,2010,Percentage of total population,Females,16.7
Poland,2011,Percentage of total population,Females,17.7
Poland,2012,Percentage of total population,Females,18.2
Poland,2013,Percentage of total population,Females,18.8
Poland,2014,Percentage of total population,Females,17.9
Poland,2015,Percentage of total population,Females,16.5
Poland,2016,Percentage of total population,Females,16.8
Poland,2017,Percentage of total population,Females,16.7
Poland,2018,Percentage of total population,Females,16.2
Poland,2019,Percentage of total population,Females,15.3
Poland,2020,Percentage of total population,Females,16.1
Poland,2021,Percentage of total population,Females,16.3
Poland,2022,Percentage of total population,Females,13.3
Poland,2023,Percentage of total population,Females,11.5
Portugal,2009,Percentage of total population,Females,13.6
Portugal,2010,Percentage of total population,Females,14.5
Portugal,2011,Percentage of total population,Females,14.8
Portugal,2012,Percentage of total population,Females,15.7
Portugal,2013,Percentage of total population,Females,16.9
Portugal,2014,Percentage of total population,Females,15.2
Portugal,2015,Percentage of total population,Females,14.2
Portugal,2016,Percentage of total population,Females,13.1
Portugal,2017,Percentage of total population,Females,10.8
Portugal,2018,Percentage of total population,Females,9.8
Portugal,2019,Percentage of total population,Females,10.0
Portugal,2020,Percentage of total population,Females,11.0
Portugal,2021,Percentage of total population,Females,9.7
Portugal,2022,Percentage of total population,Females,8.5
Portugal,2023,Percentage of total population,Females,8.9
Romania,2009,Percentage of total population,Females,21.4
Romania,2010,Percentage of total population,Females,28.4
Romania,2011,Percentage of total population,Females,27.3
Romania,2012,Percentage of total population,Females,27.4
Romania,2013,Percentage of total population,Females,27.9
Romania,2014,Percentage of total population,Females,28.1
Romania,2015,Percentage of total population,Females,30.6
Romania,2016,Percentage of total population,Females,29.1
Romania,2017,Percentage of total population,Females,26.5
Romania,2018,Percentage of total population,Females,26.3
Romania,2019,Percentage of total population,Females,25.8
Romania,2020,Percentage of total population,Females,25.9
Romania,2021,Percentage of total population,Females,26.3
Romania,2022,Percentage of total population,Females,25.4
Romania,2023,Percentage of total population,Females,24.8
Serbia,2010,Percentage of total population,Females,74872.7
Serbia,2011,Percentage of total population,Females,31.3
Serbia,2012,Percentage of total population,Females,31.9
Serbia,2013,Percentage of total population,Females,31.9
Serbia,2014,Percentage of total population,Females,28.0
Serbia,2015,Percentage of total population,Females,27.0
Serbia,2016,Percentage of total population,Females,25.2
Serbia,2017,Percentage of total population,Females,24.3
Serbia,2018,Percentage of total population,Females,23.1
Serbia,2019,Percentage of total population,Females,21.6
Serbia,2020,Percentage of total population,Females,22.3
Serbia,2021,Percentage of total population,Females,21.0
Serbia,2022,Percentage of total population,Females,17.5
Serbia,2023,Percentage of total population,Females,16.6
Sweden,2009,Percentage of total population,Females,9.9
Sweden,2010,Percentage of total population,Females,8.6
Sweden,2011,Percentage of total population,Females,8.2
Sweden,2012,Percentage of total population,Females,8.6
Sweden,2013,Percentage of total population,Females,8.0
Sweden,2014,Percentage of total population,Females,7.8
Sweden,2015,Percentage of total population,Females,7.4
Sweden,2016,Percentage of total population,Females,7.1
Sweden,2017,Percentage of total population,Females,7.0
Sweden,2018,Percentage of total population,Females,7.0
Sweden,2019,Percentage of total population,Females,6.2
Sweden,2020,Percentage of total population,Females,7.2
Sweden,2021,Percentage of total population,Females,6.3
Sweden,2022,Percentage of total population,Females,5.9
Sweden,2023,Percentage of total population,Females,5.7
Slovenia,2009,Percentage of total population,Females,8.2
Slovenia,2010,Percentage of total population,Females,8.1
Slovenia,2011,Percentage of total population,Females,7.7
Slovenia,2012,Percentage of total population,Females,10.5
Slovenia,2013,Percentage of total population,Females,11.5
Slovenia,2014,Percentage of total population,Females,12.1
Slovenia,2015,Percentage of total population,Females,10.6
Slovenia,2016,Percentage of total population,Females,9.3
Slovenia,2017,Percentage of total population,Females,8.7
Slovenia,2018,Percentage of total population,Females,8.4
Slovenia,2019,Percentage of total population,Females,9.2
Slovenia,2020,Percentage of total population,Females,8.9
Slovenia,2021,Percentage of total population,Females,8.2
Slovenia,2022,Percentage of total population,Females,9.8
Slovenia,2023,Percentage of total population,Females,9.0
Slovakia,2009,Percentage of total population,Females,19.1
Slovakia,2010,Percentage of total population,Females,19.4
Slovakia,2011,Percentage of total population,Females,19.0
Slovakia,2012,Percentage of total population,Females,19.6
Slovakia,2013,Percentage of total population,Females,19.4
Slovakia,2014,Percentage of total population,Females,19.2
Slovakia,2015,Percentage of total population,Females,18.9
Slovakia,2016,Percentage of total population,Females,18.5
Slovakia,2017,Percentage of total population,Females,19.1
Slovakia,2018,Percentage of total population,Females,17.6
Slovakia,2019,Percentage of total population,Females,17.2
Slovakia,2020,Percentage of total population,Females,17.8
Slovakia,2021,Percentage of total population,Females,17.5
Slovakia,2022,Percentage of total population,Females,13.9
Slovakia,2023,Percentage of total population,Females,12.4
Türkiye,2009,Percentage of total population,Females,54.3
