indicator,country,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Drought_impact_area_on_ecosystems,Albania,Square kilometre,2266.0,512.0,34.0,2814.0,0.0,0.0,0.0,2063.0,792.0,0.0,0.0,313.0,670.0,0.0,0.0,585.0,1.0,4757.0,32.0,396.0,662.0,4006.0,5417.0,45.0
Drought_impact_area_on_ecosystems,Austria,Square kilometre,4671.0,6203.0,2850.0,23665.0,1183.0,420.0,579.0,2880.0,25.0,75.0,1045.0,1133.0,2352.0,4.0,25.0,4521.0,125.0,2400.0,5785.0,1920.0,214.0,2203.0,7919.0,59.0
Drought_impact_area_on_ecosystems,Belgium,Square kilometre,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2263.0,0.0,79.0,3.0,0.0,0.0,2574.0,3530.0,1427.0,11740.0,2.0,17350.0,0.0
Drought_impact_area_on_ecosystems,Bosnia and Herzegovina,Square kilometre,19178.0,110.0,281.0,20418.0,0.0,0.0,0.0,276.0,1.0,18.0,0.0,564.0,8291.0,640.0,0.0,625.0,0.0,2189.0,0.0,18.0,886.0,6338.0,24979.0,590.0
Drought_impact_area_on_ecosystems,Bulgaria,Square kilometre,56150.0,48896.0,9231.0,13737.0,280.0,0.0,0.0,10138.0,383.0,2406.0,1.0,253.0,1844.0,164.0,2.0,7.0,9.0,3309.0,20.0,141.0,10265.0,886.0,3919.0,2741.0
Drought_impact_area_on_ecosystems,Croatia,Square kilometre,6305.0,16.0,60.0,18516.0,0.0,0.0,0.0,224.0,2.0,62.0,0.0,3741.0,18344.0,0.0,2.0,472.0,0.0,4637.0,14.0,37.0,1073.0,1725.0,17779.0,31.0
Drought_impact_area_on_ecosystems,Cyprus,Square kilometre,56.0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,3712.0,0.0,0.0,7.0,0.0,0.0,4437.0,0.0,4214.0,488.0,593.0,0.0,2.0,573.0,251.0,63.0
Drought_impact_area_on_ecosystems,Czechia,Square kilometre,7910.0,2080.0,2400.0,17145.0,2265.0,9.0,35.0,3575.0,7.0,5.0,2.0,28.0,4356.0,0.0,168.0,4806.0,15.0,3893.0,20717.0,7975.0,1366.0,24.0,4587.0,212.0
Drought_impact_area_on_ecosystems,Denmark,Square kilometre,104.0,3.0,0.0,164.0,291.0,185.0,156.0,0.0,577.0,615.0,11.0,85.0,28.0,621.0,42.0,0.0,8.0,4.0,19698.0,1347.0,337.0,513.0,3657.0,733.0
Drought_impact_area_on_ecosystems,Estonia,Square kilometre,103.0,0.0,4220.0,1221.0,0.0,0.0,31571.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,153.0,143.0,165.0,13593.0,3388.0,0.0,3919.0,2044.0,6721.0
Drought_impact_area_on_ecosystems,European Union - 27 countries (from 2020),Square kilometre,182232.2,97656.2,109239.4,387792.6,17931.0,225925.1,127152.2,71243.7,35693.5,69972.1,21421.8,102608.0,376274.6,7234.5,32601.5,102688.2,64887.0,155868.7,272066.9,304706.1,200526.1,110909.9,648748.6,143500.3
Drought_impact_area_on_ecosystems,Finland,Square kilometre,0.0,0.0,5592.0,23512.0,127.0,21.0,37923.0,95.0,0.0,1379.0,997.0,4687.0,26.0,265.0,2849.0,936.0,485.0,1593.0,25981.0,20552.0,8763.0,36498.0,4081.0,6378.0
Drought_impact_area_on_ecosystems,France,Square kilometre,69.0,275.0,3420.0,93871.0,1938.0,14731.0,1183.0,1529.0,2939.0,1280.0,6047.0,62740.0,9885.0,0.0,564.0,346.0,2212.0,22530.0,977.0,52533.0,41617.0,1700.0,240140.0,10368.0
Drought_impact_area_on_ecosystems,Germany,Square kilometre,156.0,41.0,0.0,48367.0,1820.0,33.0,125.0,137.0,6.0,236.0,4.0,10347.0,1384.0,6.0,795.0,5454.0,325.0,1774.0,70421.0,62550.0,54655.0,345.0,64136.0,813.0
Drought_impact_area_on_ecosystems,Greece,Square kilometre,30841.0,15422.0,478.0,67.0,13.0,22.0,0.0,13043.0,6888.0,165.0,1033.0,99.0,5572.0,616.0,201.0,14.0,9335.0,5639.0,3407.0,702.0,1670.0,8630.0,7294.0,1987.0
Drought_impact_area_on_ecosystems,Hungary,Square kilometre,2338.0,346.0,2545.0,13639.0,0.0,1.0,0.0,3650.0,0.0,103.0,0.0,186.0,39874.0,0.0,260.0,2844.0,0.0,1327.0,0.0,704.0,226.0,1622.0,23897.0,0.0
Drought_impact_area_on_ecosystems,Iceland,Square kilometre,714.0,1.0,35.0,0.0,0.0,55.0,4.0,24.0,42.0,11.0,0.0,68.0,144.0,176.0,136.0,600.0,63.0,1190.0,2872.0,4813.0,226.0,6496.0,812.0,2716.0
Drought_impact_area_on_ecosystems,Ireland,Square kilometre,0.0,1.0,1.0,1123.0,9.0,1.0,188.0,0.0,0.0,2.0,3.0,1.0,1.0,660.0,186.0,0.0,0.0,23.0,987.0,23.0,37.0,241.0,4956.0,0.0
Drought_impact_area_on_ecosystems,Italy,Square kilometre,17617.0,14732.0,26467.0,12427.0,726.0,1782.0,4980.0,17228.0,12114.0,951.0,864.0,3893.0,27877.0,590.0,663.0,2342.0,6543.0,50081.0,2401.0,1730.0,4729.0,11187.0,53925.0,5432.0
Drought_impact_area_on_ecosystems,Kosovo*,Square kilometre,1776.0,319.0,3.0,360.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,103.0,1356.0,1.0,0.0,74.0,0.0,38.0,0.0,829.0,348.0,1652.0,1446.0,0.0
Drought_impact_area_on_ecosystems,Latvia,Square kilometre,551.0,0.0,8855.0,7276.0,2.0,0.0,13925.0,1.0,65.0,2191.0,5215.0,12.0,4.0,43.0,273.0,256.0,559.0,37.0,4649.0,12118.0,1016.0,3053.0,625.0,6778.0
Drought_impact_area_on_ecosystems,Liechtenstein,Square kilometre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,10.0,40.0,2.0,4.0,0.0,0.0,0.0
Drought_impact_area_on_ecosystems,Lithuania,Square kilometre,10.0,0.0,14853.0,2937.0,0.0,4.0,3734.0,0.0,839.0,1003.0,236.0,0.0,16.0,0.0,0.0,643.0,53.0,2.0,9860.0,31961.0,2156.0,1326.0,14.0,20378.0
Drought_impact_area_on_ecosystems,Luxembourg,Square kilometre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.0,0.0,0.0,0.0,0.0,0.0,185.0,332.0,441.0,1806.0,0.0,1824.0,3.0
Drought_impact_area_on_ecosystems,Malta,Square kilometre,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,61.0,0.0,0.0,212.0,0.0,49.0,0.0,0.0,1.0,0.0,0.0
Drought_impact_area_on_ecosystems,Montenegro,Square kilometre,2058.0,0.0,0.0,1050.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,483.0,4274.0,1.0,0.0,447.0,0.0,1236.0,6.0,21.0,136.0,2692.0,3576.0,4.0
Drought_impact_area_on_ecosystems,Netherlands,Square kilometre,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,25.0,9032.0,1754.0,5758.0,0.0,6088.0,0.0
Drought_impact_area_on_ecosystems,North Macedonia,Square kilometre,8552.0,9126.0,214.0,42.0,0.0,0.0,0.0,907.0,0.0,0.0,0.0,1.0,745.0,0.0,0.0,0.0,0.0,8268.0,0.0,533.0,0.0,2697.0,720.0,0.0
Drought_impact_area_on_ecosystems,Norway,Square kilometre,87.0,87.0,5252.0,4356.0,294.0,487.0,2487.0,9.0,2832.0,439.0,1235.0,2620.0,826.0,3030.0,16764.0,4592.0,2002.0,1081.0,15987.0,6456.0,2958.0,24138.0,3488.0,6799.0
Drought_impact_area_on_ecosystems,Poland,Square kilometre,6753.0,23.0,4640.0,42568.0,3933.0,2159.0,13887.0,229.0,0.0,28.0,8.0,0.0,19155.0,328.0,370.0,55247.0,9572.0,2207.0,16679.0,44565.0,7903.0,5602.0,21987.0,24459.0
Drought_impact_area_on_ecosystems,Portugal,Square kilometre,0.0,2.0,2771.0,0.0,0.0,55433.0,4.0,0.0,237.0,13239.0,2.0,2128.0,31891.0,11.0,62.0,3306.0,0.0,1509.0,25.0,2841.0,11.0,13.0,38843.0,6115.0
Drought_impact_area_on_ecosystems,Romania,Square kilometre,28602.0,2726.0,4778.0,31990.0,1275.0,0.0,1.0,15143.0,845.0,2480.0,0.0,244.0,39937.0,2247.0,906.0,1975.0,211.0,2565.0,85.0,519.0,28295.0,1815.0,34971.0,2982.0
Drought_impact_area_on_ecosystems,Serbia,Square kilometre,33894.0,4188.0,422.0,6870.0,0.0,0.0,0.0,5254.0,0.0,1.0,0.0,396.0,14813.0,1030.0,5.0,267.0,0.0,2106.0,4.0,29.0,454.0,3994.0,11842.0,31.0
Drought_impact_area_on_ecosystems,Slovakia,Square kilometre,811.0,0.0,142.0,7423.0,18.0,0.0,10.0,531.0,0.0,168.0,0.0,0.0,13965.0,627.0,376.0,3617.0,285.0,2991.0,684.0,184.0,8.0,292.0,9864.0,327.0
Drought_impact_area_on_ecosystems,Slovenia,Square kilometre,1526.0,0.0,121.0,7582.0,0.0,0.0,1.0,24.0,0.0,0.0,2.0,628.0,3129.0,2.0,0.0,55.0,32.0,1529.0,46.0,59.0,139.0,1127.0,11197.0,53.0
Drought_impact_area_on_ecosystems,Spain,Square kilometre,17631.0,6874.0,12161.0,5970.0,19.0,150095.0,8673.0,851.0,4660.0,38108.0,779.0,8221.0,156589.0,113.0,16744.0,9365.0,22788.0,27812.0,1801.0,29704.0,134.0,3725.0,56776.0,34266.0
Drought_impact_area_on_ecosystems,Sweden,Square kilometre,31.0,16.0,3649.0,14376.0,4029.0,1030.0,10126.0,1962.0,2395.0,5478.0,5065.0,1329.0,45.0,794.0,3671.0,6330.0,7760.0,16569.0,60702.0,25535.0,16605.0,23885.0,10625.0,12602.0
Drought_impact_area_on_ecosystems,Switzerland,Square kilometre,0.0,2.0,3.0,1481.0,37.0,62.0,228.0,15.0,3.0,443.0,321.0,2312.0,308.0,51.0,2.0,498.0,66.0,1763.0,4796.0,2201.0,1954.0,457.0,6317.0,1451.0
Drought_impact_area_on_ecosystems,TÃ¼rkiye,Square kilometre,37477.0,41379.0,11.0,12153.0,1915.0,380.0,3869.0,90081.0,92644.0,1593.0,4793.0,80.0,1014.0,5439.0,37411.0,201.0,16899.0,53864.0,6021.0,14621.0,23372.0,155982.0,60185.0,15735.0
