indicator,country,unit,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Climate_related_economic_losses,Austria,"Current prices, million euro",0,0,2,0,0,0,0,441,0,0,545,195,0,2,3,0,7,328,0,187,306,1,3945,410,1,882,728,453,619,693,0,0,13,1012,0,0,0,1230,393,621,244,853,215,396
Climate_related_economic_losses,Belgium,"Current prices, million euro",0,0,0,0,0,0,0,0,0,0,1455,0,0,0,0,128,0,0,15,82,1,1,8,1,1,75,0,484,0,0,584,95,0,0,760,0,134,31,212,288,536,11159,840,99
Climate_related_economic_losses,Bulgaria,"Current prices, million euro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,3,0,1,2611,1,4,0,0,0,0,6,0,1198,1213,0,0,0,0,6,2,40,23
Climate_related_economic_losses,Croatia,"Current prices, million euro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,524,0,0,849,1,0,1,0,0,0,575,0,175,0,749,196,0,169,334,0,61,0,352,151
Climate_related_economic_losses,Cyprus,"Current prices, million euro",0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,184,3,0,0,0,0,0,0,210,0,0,0,0,6,0,1
Climate_related_economic_losses,Czech Republic,"Current prices, million euro",0,0,0,0,0,10,0,104,0,0,0,0,0,0,0,0,96,5484,137,0,1038,55,5438,0,0,0,664,280,52,177,876,0,51,2103,18,0,70,747,159,0,184,689,80,22
Climate_related_economic_losses,Denmark,"Current prices, million euro",0,812,0,0,0,0,0,0,0,0,301,0,1076,0,0,0,0,0,0,4068,94,0,0,0,1,0,0,101,0,0,114,882,0,898,87,0,0,0,87,0,59,0,4,167
Climate_related_economic_losses,EU,"Current prices, million euro",6969,6489,10169,20331,8598,3655,3775,16771,2408,5345,33088,2844,8243,6393,20938,7166,3968,16020,4925,36703,23040,5105,45720,28382,4817,21054,4285,11326,5917,8065,23274,7069,4425,23272,13846,12496,10479,31937,24142,26663,15351,62981,55956,43879
Climate_related_economic_losses,Estonia,"Current prices, million euro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,20,0,237,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,4
Climate_related_economic_losses,Finland,"Current prices, million euro",0,0,0,0,365,0,0,1339,0,0,7,0,0,0,0,0,0,0,0,0,0,22,0,0,2,154,1,30,0,0,151,155,7,0,0,0,0,0,0,0,97,49,0,0
Climate_related_economic_losses,France,"Current prices, million euro",162,53,515,3372,0,401,87,2732,807,2616,5489,1443,1415,2850,12194,1698,883,606,889,18504,703,770,2219,6712,51,3521,251,562,566,3154,5295,1796,1683,1889,2893,816,2081,6329,3411,5717,4770,6108,8757,3130
Climate_related_economic_losses,Germany,"Current prices, million euro",61,450,14,247,3961,1166,68,86,169,121,7079,119,330,1687,2160,626,336,718,784,3909,410,1021,27247,2564,1502,1810,1132,6349,2845,1344,5959,880,159,15361,3182,2934,3947,5717,10145,8247,1607,38744,11014,2163
Climate_related_economic_losses,Greece,"Current prices, million euro",0,0,0,0,0,0,0,800,0,0,3989,0,0,9,595,0,2,197,916,1,6,79,38,1462,359,0,55,1490,0,90,1,0,0,16,5,12,56,131,74,293,1131,650,21,3872
Climate_related_economic_losses,Hungary,"Current prices, million euro",0,0,0,0,0,0,3036,0,0,0,0,0,1635,0,0,0,0,23,55,1172,136,11,53,765,0,124,62,0,0,0,649,31,34,35,28,32,11,28,8,14,11,34,2430,30
Climate_related_economic_losses,Ireland,"Current prices, million euro",22,0,0,0,0,0,23,0,171,0,197,6,0,68,300,0,2,30,0,167,180,0,100,0,65,0,0,1,0,294,0,306,0,114,847,247,0,295,0,51,210,0,0,260
Climate_related_economic_losses,Italy,"Current prices, million euro",97,1175,5348,749,382,41,562,8020,31,10,1322,531,2320,973,5146,617,625,1159,74,1078,15021,468,5991,7369,76,66,0,0,722,372,777,2729,1308,696,1843,3116,2187,13180,5708,5273,2720,686,17626,15741
Climate_related_economic_losses,Latvia,"Current prices, million euro",0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,539,0,0,0,0,0,0,0,0,0,0,0,490,120,0,0,0,0,17
Climate_related_economic_losses,Lithuania,"Current prices, million euro",0,43,0,0,0,0,0,0,0,0,0,0,747,42,0,0,0,0,0,1,0,0,7,0,0,56,350,0,0,0,0,0,0,0,0,0,0,570,0,0,0,0,1,466
Climate_related_economic_losses,Luxembourg,"Current prices, million euro",0,0,0,0,0,0,0,0,0,0,776,0,0,19,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,57,0,0,157,20,184,0,0
Climate_related_economic_losses,Malta,"Current prices, million euro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,0,0,0,2
Climate_related_economic_losses,Netherlands,"Current prices, million euro",0,0,0,0,0,0,0,0,0,0,3133,0,44,227,3,1655,0,0,956,0,0,0,468,1,61,124,0,644,55,0,0,13,0,273,0,29,1041,0,0,47,542,757,785,113
Climate_related_economic_losses,Poland,"Current prices, million euro",2910,0,824,308,0,1558,0,762,0,0,298,22,0,0,2,4,0,6696,1,20,0,1379,0,574,308,0,1,109,100,109,3588,0,6,0,0,0,0,80,890,0,51,30,1,1
Climate_related_economic_losses,Portugal,"Current prices, million euro",0,0,2,832,0,390,0,0,0,0,0,0,0,0,0,0,120,57,0,0,0,0,0,4752,1600,1921,0,0,0,42,1558,0,0,723,0,7,276,2266,180,607,101,3,1190,42
Climate_related_economic_losses,Romania,"Current prices, million euro",0,0,0,0,0,0,0,0,0,0,0,388,0,0,13,46,0,456,502,983,3228,824,1,1206,97,3405,139,0,629,0,1505,0,31,13,609,3682,0,41,150,0,485,32,1147,16
Climate_related_economic_losses,Slovakia,"Current prices, million euro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,112,485,0,28,7,283,562,0,79,1,0,0,47,0,0,15,0,0,0,0,0,33,21,40,85,4
Climate_related_economic_losses,Slovenia,"Current prices, million euro",0,0,0,0,0,0,0,0,0,0,1957,22,419,405,108,85,0,99,317,26,151,100,0,221,94,81,74,371,143,0,274,0,583,0,1430,0,0,215,0,199,9,0,166,9935
Climate_related_economic_losses,Spain,"Current prices, million euro",3718,3874,3465,14823,3890,78,0,2487,1206,2597,6529,118,258,113,412,2291,1898,8,150,5814,1159,347,194,1160,20,2772,747,448,0,1785,1232,180,369,14,0,195,409,419,2178,4942,2421,2910,11204,7132
Climate_related_economic_losses,Sweden,"Current prices, million euro",0,0,0,0,0,10,0,0,0,0,11,0,0,0,0,0,0,5,0,205,11,0,1,0,14,2675,1,0,0,0,0,0,0,110,197,17,0,0,93,149,67,46,0,92
